code,name,total_AI_score
000001,平安银行,0.10562551957051586
000004,国农科技,0.2956665009403634
000004,国华网安,0.3769040420285445
000005,世纪星源,0.0823541868991169
000006,深振业A,0.0199615641459222
000006,深振业Ａ,0.04284701035347689
000007,ST全新,0.11344679905217851
000007,全新好,0.07191536363705381
000008,神州高铁,0.07251957460754012
000009,中国宝安,0.1101619969339882
000010,美丽生态,0.043761825394600426
000011,深物业A,0.05716250521764812
000012,南 玻Ａ,0.7343336675331484
000012,南玻A,0.9813325406112342
000014,沙河股份,0.031523489881869426
000016,深康佳A,0.06310425579733119
000016,深康佳Ａ,0.05479284686453514
000017,深中华A,0.039542148389576724
000019,深深宝A,0.05292022238959396
000019,深粮控股,0.02311801246719728
000020,深华发A,0.046900300321643634
000020,深华发Ａ,0.004877845945299569
000021,深科技,0.1053915701804623
000023,ST深天,0.058449703057591895
000023,深天地A,0.08600113320242138
000025,特  力Ａ,0.04785594907529098
000025,特力A,0.1214963902116117
000026,飞亚达,0.06955079338955872
000026,飞亚达A,0.05861991792158596
000027,深圳能源,0.03989645361627642
000028,国药一致,0.10897662351085065
000029,深深房A,0.09928481760291537
000029,深深房Ａ,0.046875451147914075
000030,富奥股份,0.1813361336290787
000031,中粮地产,0.11406330443185235
000031,大悦城,0.34341180647990743
000032,深桑达A,0.1635034488672879
000032,深桑达Ａ,0.29236051996136136
000034,神州数码,0.11386327372847532
000035,中国天楹,0.10930214927548679
000036,华联控股,0.02142139249407299
000037,深南电A,0.023641625551507246
000038,深大通,0.1108787762202797
000039,中集集团,0.4518878876011446
000040,东旭蓝天,0.05728248119305254
000042,中洲控股,0.025828812915919517
000045,深纺织A,0.022363928821742336
000045,深纺织Ａ,0.05125531217240596
000046,泛海控股,0.019089649820759065
000048,京基智农,0.04000716768904025
000048,康达尔,0.026526226526413024
000049,德赛电池,0.15355033355827147
000050,深天马A,0.18527669333462396
000050,深天马Ａ,0.4311559269531086
000055,方大集团,0.0844704273299921
000056,皇庭国际,0.05395356384386413
000058,深 赛 格,0.06982290666743436
000058,深赛格,0.10384875488718963
000059,华锦股份,0.025653415499099188
000060,中金岭南,0.020671268445750936
000061,农 产 品,0.056693145632813934
000061,农产品,0.03951792570094302
000062,深圳华强,0.5765078273845222
000063,中兴通讯,0.16690878054864453
000065,北方国际,0.03444810195502454
000066,中国长城,0.08483169840491744
000068,华控赛格,0.48603122019937417
000069,华侨城A,0.16949197805478003
000069,华侨城Ａ,0.13623347062181548
000070,特发信息,0.10505434090248005
000078,海王生物,0.09393779984172455
000088,盐 田 港,0.02642484209189138
000088,盐田港,0.03468060480653306
000089,深圳机场,0.052219634202735926
000090,天健集团,0.04455447484683167
000096,广聚能源,0.013080519240827279
000099,中信海直,0.017461243040297444
000100,TCL科技,0.08474014574338015
000100,TCL集团,0.08327182681012771
000150,宜华健康,0.2796949047578698
000151,中成股份,0.2132760298181452
000153,丰原药业,0.016652784617280134
000155,川化股份,0.06438413007499895
000155,川能动力,0.059822055657638915
000156,华数传媒,0.4645281060050666
000157,中联重科,0.27193124658667334
000158,常山北明,0.21812035186116985
000159,国际实业,0.011046627535002029
000166,申万宏源,0.11963310623000668
000301,东方市场,0.010301444216275714
000301,东方盛虹,0.04174954629910278
000333,美的集团,0.40177145410115467
000338,潍柴动力,0.05263543455051431
000400,许继电气,0.13390283395087954
000401,冀东水泥,0.03778617333316339
000403,ST生化,0.032014745369151165
000403,派林生物,0.014964885745571274
000404,华意压缩,0.03747058623075995
000404,长虹华意,0.03664520321097162
000407,胜利股份,0.019625175945389733
000408,藏格控股,0.03395328018930865
000409,云鼎科技,0.33700518247673844
000409,山东地矿,0.11453106375095712
000410,_ST沈机,0.08117217452618236
000410,沈阳机床,0.01802677435037766
000411,英特集团,0.0764574438107052
000413,东旭光电,0.8191431141241005
000415,渤海租赁,0.05828638520293041
000415,渤海金控,0.0732125234755513
000416,ST民控,0.019366235566588955
000416,民生控股,0.04209686608908956
000417,合肥百货,0.06599466581587554
000419,通程控股,0.0434505945805298
000421,南京公用,0.04253856088704683
000422,湖北宜化,0.030344141889592325
000423,东阿阿胶,0.04638745339091246
000425,徐工机械,0.2671075441466937
000426,兴业矿业,0.02153829089021643
000426,兴业银锡,0.06829521734344009
000428,华天酒店,0.09475670584247932
000429,粤高速A,0.07363782515638372
000429,粤高速Ａ,0.025725840901997726
000430,张家界,0.26415278861770275
000488,晨鸣纸业,0.02073117849069011
000498,山东路桥,0.1318388554959518
000501,武商集团,0.046493779248817244
000501,鄂武商A,0.07825398912884869
000502,绿景控股,0.06348678097286976
000503,国新健康,0.3475658209316647
000503,海虹控股,0.30870230046858993
000504,南华生物,0.08298901912805046
000505,京粮控股,0.042660011174160635
000505,珠江控股,0.04916186220918911
000506,中润资源,0.015316451432394157
000507,珠海港,0.09832979529657611
000509,华塑控股,0.07013133544583394
000510,新金路,0.018272120441488182
000510,金路集团,0.024076177432628732
000513,丽珠集团,0.1800402684315262
000514,渝 开 发,0.13481880953438244
000514,渝开发,0.05994367280496241
000516,国际医学,0.7213689459016861
000517,荣安地产,0.015288456574587437
000518,四环生物,0.024325554487707547
000519,中兵红箭,0.08466113105449799
000520,凤凰航运,0.008240343801719794
000520,长航凤凰,0.030456690883807713
000521,美菱电器,0.13067591534362735
000521,长虹美菱,0.08946079095176446
000523,广州浪奇,0.048931467411621556
000523,红棉股份,0.042642443921268924
000524,岭南控股,0.2772282172854241
000525,ST红太阳,0.0483034655127085
000525,红太阳,0.04323831349557252
000526,_ST紫学,0.4650897578195486
